salt,passwd
293,SY59bg88
135,DN81cp29
846,GC13jy91
1,WA92zg61
246,EX72qn33
970,YH52fj96
22,AL74oh95
919,CI07sa39
930,PV66fv20
593,ZS55rp58
271,WU52lh78
411,UQ30qy41
391,YH71mg78
62,EN99gf89
844,PE15ez51
277,YI30zq07
490,WN18bb93
785,BZ85pk31
690,AI75fl58
684,WJ30wg60
219,JR25jg70
295,ZO40bu94
922,ZU46bv32
237,ZM20gd93
622,OH76jk60
424,UW50pn95
262,PK87kd93
712,NM77lf44
395,CF68xn48
470,NP53rc33
242,ZC74yu54
331,YC62sw26
138,XT10ok14
303,ZA13un66
32,RH37ee58
812,DP80pd15
493,BZ42zs67
811,CF40uo15
809,OJ04lg16
293,CN37hr87
278,PW39ct08
872,PG11la69
553,TM30vh00
899,JH72cp29
805,AK42qx60
540,EE30kc78
294,BA06mk19
79,GX65lb37
257,OA51iq08
303,SE32wp53
88,XV99ho07
433,SK87ae59
588,RK24sv96
862,IH41zn37
771,PS75ak17
626,KI84nc40
279,DL16tv09
618,IG00vf84
818,QD58rj24
865,KL08eb81
24,WD85hr90
395,PV24zo61
226,TF04xc37
448,CN07bi42
387,VJ53mz57
180,GQ25xc11
171,AB78ah79
556,DN21jh75
16,VU55nn01
326,LW34kr02
355,OT94dz80
42,FY10zy15
640,WF33id62
696,KM99dj35
371,RJ61yz27
815,WQ96vd37
805,ZM66ng60
387,XJ11qj48
125,BS21vj58
592,KJ40dz58
372,KW89lv16
747,RZ82jm71
158,IS92xa37
926,GM56cb14
446,EL48fm83
164,SO47ll17
653,QL20gb07
795,NB45af15
168,RT73sx99
952,GX85ln98
675,FF19uz39
457,VJ08hr20
923,QS54ux11
511,YO07bv18
757,NO46go83
874,UB32it45
492,AM34np04
544,EQ44rf68
89,HK34lh86
329,JV99qx91
429,HI72bs48
858,GK23hu04
786,DM06sy08
72,EX45tk30
417,SM77do56
103,JH13ae76
715,NZ80yj87
389,EV39qm04
431,VR01oo65
951,VH48gb46
568,DI15sg47
174,NQ69tc51
355,RJ89kn19
579,OV87kf51
941,QA63un98
837,JY69xz23
649,VT30dp38
801,SD69dp25
148,WB58qb70
203,CT51mm15
978,MY34vn71
603,XJ12ur90
593,WS58ql80
391,NM31wy17
518,JN70ze95
164,YW94ee25
381,BE27oo28
72,BI11wy54
599,KY69bf93
611,KW58ya39
643,BK84pw56
935,VJ65pd69
741,ZJ12qh88
815,AL65cy04
658,IS58pa04
920,QA24bl55
945,JW98zr37
654,TO03bl65
815,PL45dx67
164,AM36zx83
411,MO78zh79
309,UR11jw60
14,HX72qw16
879,TX20xk77
732,NF36mt71
129,OW73rj01
566,RY68ur30
284,IA75qr23
317,GI24eu41
510,FK15fj45
598,DJ51nk81
1616,WJ07ax33
936,JE63kz40
656,PX94rs88
1632,GN45kd09
1572,GK41hm92
1431,BO77qs70
1035,TA64li09
655,XW20gr79
1442,SJ49vp20
1059,OF77ee79
1469,JP81em03
1216,GJ98uf80
524,HG02uo68
887,WB87uf71
607,JX30mm93
787,KC20qz96
1651,SC43od52
1462,RC67jt14
675,FO00kc15
1420,IW56le07
1303,WP90vu99
1752,MG86cu87
1475,NV27ko72
1523,XQ96jj20
1513,CP74tv37
546,OT11kr29
604,OR20bl40
966,EW70rz83
887,UA20ky06
678,OK65bp27
966,HX48qv64
1428,OS25iy30
1366,JJ74ll26
292,RY51jm11
507,FS49ma71
951,VS82vg61
1027,QM47hs42
451,XE41su81
777,KU67lz21
1767,PA36xb38
1198,RW48lh52
1479,WU04nc91
441,PL02pe37
84,SL18et91
1525,ZZ00sa72
595,CB45gc59
1713,IR00tf03
1002,LY94ha32
1126,JA55lw20
961,UF17fm28
169,EI96xb44
1080,JL60pg96
148,TU69vp75
1522,HK00ln16
1339,WD95vj29
657,HL08sa01
1013,TC76og64
1690,PU89db53
1110,CX28cx13
185,DE39ry45
413,LR47sy09
1284,QC84lp43
1008,RN51em90
821,AH27xb95
1514,CY81ab41
681,UM84ls23
1023,CS37ij43
883,WR50xd67
516,TD01ij77
818,FS09ox17
1087,LH38qn50
324,EV70nd18
678,RM86pc29
1125,DC45dh14
546,IP93pa51
1256,MA77lz84
1540,WM43uj76
1236,RZ23ln06
865,ML91mv09
1711,SD58rl09
1047,EQ38yd67
861,WY26ko11
1534,LB28fx92
1559,RU55ia18
1068,QN83lt11
1535,JG49hp55
184,RJ10po37
838,GL27wz39
1629,WN06sr85
249,PQ61eu24
1735,BK70zq13
625,AR95pl61
1465,OK23cb50
1350,OY87zd44
1277,TH54af34
796,CM32ln23
1058,IR05vi69
1079,HH22vk02
633,FL07jy16
811,LP11lq92
844,HP12uw94
354,II40bd89
1367,JF21nc90
417,BK48bc88
1547,SX89vt06
1363,UM70ju60
1110,DP63dt88
1713,ZC80yc17
917,RE41yz72
747,SM82ag81
513,WM27bi95
479,AH63tr50
1026,FP38ht71
390,PD22yp24
1464,IP24vb72
1672,YZ40bx27
516,HN28wr74
745,QR93it28
1136,VI12yk80
1004,KS46cj74
1426,QT22ie58
456,KD43jv90
1105,DV39bv11
365,VS75rm61
694,BR67vx31
1664,UM26pr35
250,JH98bb44
1315,IV18sl52
919,EV50gm25
1233,RT08rf65
227,ZS48qt83
1584,JR15vn24
643,NU27zr65
1765,TL92yr60
1282,IP10ao31
873,CZ71cp02
1178,XU59vc83
1522,XZ16pm56
723,CY95ko72
585,PL77qw18
824,IK97kp73
668,WK92vo90
1409,PH91ge52
792,LF33gt67
1755,NX09if71
1407,PZ50wc11
1221,HH26bf08
1247,JK00wd64
682,UR30se69
616,FG66il32
1613,DY61fn67
364,AB29qt61
246,TW27ud35
661,GP28kf50
147,EV69hw89
1465,WK80uf52
163,GZ73qi19
367,LT84gx11
883,RY99np97
671,SF08cw71
632,TK98mj99
347,IH12co97
1744,HA61bb48
981,ZO28oc32
205,OU64rd78
1027,OF47pp18
674,XG66vc78
672,VI83gx57
409,MM22gy42
115,UU13fk00
1221,TE56lw41
1085,XK17dp95
962,AL13mw74
856,ND63yg80
345,NL87jn92
870,WA31ke07
1584,LK82hq97
1353,EE07qy49
858,MV31nj09
1435,PZ22ze33
1077,NX94pw97
144,LF52il51
333,JQ99nq95
1461,AH68fo12
709,LQ15fg62
644,LT06pu80
256,DO85xi17
867,LG91dt99
976,FJ47iq61
245,HU42rw38
1623,YT38vm64
500,BL56jl99
1388,OG81rt15
734,LS51dc60
1512,OA24nq64
483,DK65im44
614,QA19cd47
1300,QE00sb19
575,LV18xr68
780,WG71mz12
1517,KT93vj18
1585,XQ46nm78
495,YB08la23
1120,CO51rz85
609,GC05rt06
907,WA63ej85
222,JS40mf96
867,XJ39tt03
1010,XX64ev01
1410,OI56jd09
154,SH38wl67
867,WV82up19
353,CS96ax33
1086,OI46ep35
899,CY14vs14
1164,OZ65nz43
1501,ZB93kh86
495,UI51tu39
1131,OF83fe69
1600,DH34xp99
1112,YR75wn88
707,ED84ky36
1163,WO04mv84
1541,SY33tz00
1289,GN18jf04
1066,UT90un21
376,MV07bl69
725,DV34vg65
853,LZ36st50
1747,CY52cw20
990,BU27lp19
92,GJ57gb59
1503,ZX34ho07
1568,VD82ne12
869,EX53ve98
514,LW68dn74
426,YU45yj38
1332,RB94um45
703,CL34dw06
1502,GN03cd43
1131,EV93iu47
1550,HF96uh16
104,HM00py13
230,FU98ao55
1217,YL00zx45
426,BQ91jy70
1017,VI52nj15
381,KT94mg71
1657,KH70ex16
441,MT24ov07
1475,YY54hb61
716,OC59nl59
921,QS78sq50
788,US04ys35
978,NX17hc84
195,RV76eh00
1401,IC14cf23
973,PT57xf41
1647,KB68rb19
1223,CP85ky81
1410,RY26cv84
848,QJ34qg36
491,GT06xz74
386,TD42cj67
1666,TG03tq71
791,EW54vs66
1490,IB18sm97
1614,JX87xu36
1532,BR11ek70
902,VO90fi43
588,BA51sp48
162,QI94mk18
1375,SC78oi48
478,VF35rs77
660,RQ47pt15
910,XT45qd51
530,NU45zk41
1150,SN48ye61
939,QN42zr88
203,IA07za97
996,KN81dt48
543,NT86av51
979,MY04jz09
1188,AF33eq23
790,WZ56yh86
1058,KX49cl88
334,QH88ev39
1114,CL27be26
449,WO75gh23
830,YA27ni66
160,OS40ul87
1060,XB26cm67
1446,AB86dw38
1767,CX28gy11
1649,QD82dk04
508,RD47la75
1244,OH77cy90
1286,TO52sp48
322,BJ61be28
1600,ET59tu89
214,VQ34yo57
1085,GV18ij37
1278,CR74nf37
1446,AU75xc10
1167,IV40up42
1393,FJ11ug42
1354,DJ30dq16
1089,OJ10jg28
315,TZ84ox42
975,QI98pw58
140,BI89ae32
1197,IK15kx31
1379,ML80gq23
1098,ZJ88tn37
805,OC06sg89
1744,VT65ar80
1133,WY05mq58
835,HV40qr32
289,ZH77as74
1509,CJ75sy61
355,YI70qd32
236,RO64ym18
1430,RV50oa08
340,CN69dv38
1681,IY25tj95
1573,FV39dz51
1253,SG30mf28
1609,HY40fv47
605,WW06qi89
1134,WJ00xx38
1308,QY87vb46
1078,LV26mn55
423,OX10bc15
1020,BI46jp24
844,XL45mf82
406,IL58el96
358,IZ18pt51
628,YH32kz39
979,ZQ11as18
1015,KX22lu49
355,XN50ju52
1365,KQ75xp63
1351,ZS41ek98
1424,EF98hy48
1200,SE32sc28
1142,OI63be73
1250,VA63eo37
1395,ME57am16
1230,DN73ac82
1089,PL45tu49
147,EA04hg83
1570,OJ82ij64
1094,XD03iq18
683,LU59ce31
1111,VE08ub70
338,HW58ih66
1682,QY45zk02
524,NS08zi57
849,SR72qb72
629,UI01iq60
236,YC48md05
976,KI14sq25
756,EF54ps73
1348,SO84fa69
200,PE43wg56
1739,PY62za92
466,SO85ee93
1196,XQ39ua88
752,GA65fi76
143,AV89gl97
250,DU74pj49
944,HF07fc10
140,QK02vy16
957,IR22on61
1262,KO13ee20
428,OF01gl95
441,II34ha10
1610,SD35mu89
143,WR80cv97
307,SM27ky62
1392,GJ62xl38
812,RJ11cq36
676,RF94kk27
99,FD14dn43
598,NT22xz62
711,QE89cg53
381,ZW10la52
1156,RU43op88
866,CE99cw68
135,JH73yl90
892,XC42tv07
903,MM58so67
769,ZE27wt52
1175,EU04zx60
1268,WM60xd28
890,EV30zo09
755,GH59qs19
1427,FV74dh85
1327,ZX45yt37
313,ZH15jp49
1540,QB50kf21
1016,IX33fc18
1236,KH23fy22
406,AR15ez98
1201,NV32rt36
1066,ZN46om85
189,DK62ih65
943,TF16fw20
718,TL13xq06
1463,EH61wz52
1194,IN94rn18
1595,FX79de33
456,IX34ho89
868,VL09tx13
170,YN52pj81
1732,IT68kf05
1667,UR27bn27
652,NV37xz24
560,BX34ss66
479,DE66jh13
1270,QL92eq33
697,AA15mn39
206,VO19ik92
1412,TX97az03
485,HK12dr35
956,GD38ds86
1654,AZ61dl87
1324,UF14ff04
539,QB77hs85
306,QL86et94
1138,YZ88pc25
222,FD96gf40
1306,TK08wg98
1532,TN99ed04
1201,NF52qc09
1565,MM77fj26
120,FL03ia84
1195,AG44mj30
1305,US42kd71
1427,ZQ04mn90
1622,IS75eg63
1743,FL63ks12
1604,IF55kp66
272,HS16ff37
1376,SV55ko49
146,KD40wx45
90,FZ95lt57
453,HF59eo76
1649,WT17sj16
136,OC06ys13
957,DY34sm52
673,OV50ie79
1689,QC91ot77
1677,FX01aw62
1277,PO88xu82
1098,KV20wi42
654,TJ92ci14
847,JJ84xv93
1087,OE40zj34
729,HV95gl47
1499,AO48gy05
388,PK48iy80
1734,UY89kj24
826,WQ71ke87
760,IP76is63
548,AX09yd13
142,YM43uh47
1474,CK39op60
97,GU74mi55
1740,DO49wg96
1603,TU67kf48
1640,MA75mp04
759,RW55di15
300,AQ06oc67
1135,RP38uo39
1218,NN60lu42
1199,QG31gw39
873,BA03tt58
660,EX33if40
974,RW35jo66
974,LX13yi87
483,NN41pm15
124,LB17ol02
248,NZ81xp17
657,YW84nq14
840,EH64mk83
305,DR51jv96
255,AF86xj72
971,FH59hd64
1084,EE61dc17
1611,DE01yo78
343,HR08kc63
345,UG03sm44
1623,MP60cw69
1526,GO19pb20
1068,AC52tj95
703,PA71pr18
1731,PR67es50
602,OE21id59
546,EE37rv63
1004,GA90ve24
617,GG10je99
1618,KM93gj69
416,FN16ht10
154,QD62qa15
1469,VO90nm66
966,CT63ut52
330,PA40jq54
628,AK92vp34
545,WC85gc64
331,GF62tp98
652,RQ54lo17
750,XR36ot63
1336,LG68pi41
1508,FQ00il73
1515,YR05rk21
363,UY56zc62
81,EL57pv33
1459,PD07re82
1745,NF06dm85
1485,GF58cp70
402,LO81mp57
1049,NF86qh95
690,JI69wx93
1120,OY08dd63
1569,HA15pq97
311,YS77bd62
1247,FP83jm69
1564,QU79ac75
1177,PT63sp41
129,CK63zd92
579,WQ99dy75
625,PT51su18
958,FN85oz49
1742,AB47bj55
357,GZ59yf44
302,BI30dz35
1653,EX66kk01
355,VG51wn02
1160,CK99vk11
1258,DY48jj43
1069,TV50nu93
1373,PG29xh32
1208,XO56qv33
1245,JG54zh55
1119,GR26vf88
746,PB77gt96
912,QH08zn30
1355,QW61tx39
576,TV99cs99
1748,BB42jr28
563,ZR95it23
234,UK91my13
158,UH17na40
1738,LW26ap58
149,FX56eh77
844,PY37pr64
1625,BM72jf99
941,YD72fp51
163,HM62ys65
1271,EY72nt83
772,RU00dr85
617,CX83at79
979,HU95xu30
482,RS93vf46
1169,HI26wv56
834,QY77mg56
1131,CD75fh86
1269,KO09jp12
1480,CO06ex51
1049,AU03ad10
459,QQ19uz17
822,AX22ow40
110,RH70hr40
843,LT29js45
350,PI24mv74
1509,GO11bj93
768,IS59uu25
1278,OM35ho01
1249,QO80sf91
1608,OM79dp65
90,AB98dy23
1564,IE84qa66
1025,CX85fu67
134,BZ21tr99
473,QQ37zz14
577,SG88cw07
1658,VH92ia60
573,BI48ki91
739,ZB88vj18
174,WE91be45
1416,OW65zs96
1139,MC86gm70
905,ZR68id51
543,FS52mw22
955,OA29md64
590,NT62gk14
685,ZS72tz29
1014,EF85hu03
1578,WO79iw30
1494,GF55wf73
502,HP24mm24
808,QD84qw34
340,HY83aq70
288,IZ46lz81
292,LV16xz35
787,QL02en16
201,GY20gy78
730,PM25pn39
780,AK79js40
364,UO85kd51
1538,RF83mn41
818,YZ44gp71
1434,GX08ss44
1665,ES00ye30
1457,EE94zy43
629,BL64hm36
277,IW12mr94
153,JV90ho36
440,PY59wz15
1290,NF46fx78
1269,VY49tn19
1400,RF29wg68
398,MT33oj67
1110,JH61qs44
487,GZ74qc34
426,WD61mm50
806,ET24nx90
1084,OF02js50
767,XA45ik72
1429,EA54fd53
823,UB26ao28
1557,KP63dp60
812,SU39se62
948,DX35qx52
787,PF13al47
607,XU34ps56
1529,BM03dg26
1370,ZA17qu52
1587,AP83fl72
667,WK43ll99
1389,KL78xd39
364,YC14wz89
284,BF75np48
1500,EM98mo56
924,YI94jg54
732,HI49jm42
158,ZK54fb12
1021,SI09qu42
1517,BJ22bu63
1135,GZ20eh23
176,EA27tv91
1467,VS38fi13
1070,BD33hr90
217,DN62pq65
1759,UG23sm50
1711,HH69dy21
1226,IE93pz93
766,GW25bw24
882,HI81ck50
159,CB42dt30
819,MU42hr75
138,MD79oi51
613,FO40jo46
93,MQ79li36
648,HV88va14
1275,OW15ow73
229,WH69bl27
1185,ON87ew79
1160,YZ94kf58
167,JW06va02
1220,CD05ju91
1614,LO59ps18
1146,JR39xe75
258,PQ75ax40
949,KZ53gd06
879,WF59oz59
195,PP92er90
1609,ZC49xr68
557,CO41ja71
663,MA21yb27
226,UW60xk11
377,GJ57xn46
1109,DM94wx54
520,HE49vy74
723,FS22ap69
1224,LK90xi84
1499,OI71nz55
210,QT30lp43
1140,QL45ky11
1419,YW85uv46
841,XZ14yh41
1188,EW71un31
192,VO57jv65
1377,RX97zs43
82,BU55kt46
154,QE23gl33
978,ZB31kw99
1374,QZ70np09
